name_he,code,name_en
מוצא עילית,208,Moza Illit
מוקייבלה,635,Muqeible
מורן,1163,Moran
מורשת,1178,Moreshet
מזור,606,Mazor
מזכרת בתיה,28,Mazkeret Batya
"מזרח השרון מ""א 16",1879,
"מזרח השרון מ""א 18",1880,
מזרע,104,Mizra
מזרעה,517,Mazra'a
מחולה,3599,Mehola
מחנה הילה*,1411,Mahane Hilla
מחנה טלי*,1418,Mahane Tali
מחנה יהודית*,1413,Mahane Yehudit
מחנה יוכבד*,1416,Mahane Yokheved
מחנה יפה*,1415,Mahane Yafa
מחנה יתיר,1196,Mahane Yattir
מחנה מרים*,1414,Mahane Miryam
מחנה תל נוף*,1412,Mahane Tel Nof
מחניים,308,Mahanayim
מחסיה,776,Mahseya
מטולה,43,Metula
מטע,822,Matta
מי עמי,1128,Me Ammi
מיטב,2054,Metav
מייסר,649,Meiser
מיצר,4019,Mezar
מירב,1282,Merav
מירון,607,Meron
מישר,731,Meshar
מיתר,1268,Metar
מכורה,3614,Mekhora
מכחול,1343,Makchul
מכמורת,382,Mikhmoret
מכמנים,1202,Mikhmannim
מלאה,164,Mele'a
מלילות,2044,Melilot
מלכייה,596,Malkiyya
מלכישוע,1154,Malkishua
מנוחה,2030,Menuha
מנוף,1174,Manof
מנות,1205,Manot
מנחמיה,48,Menahemya
מנרה,347,Menara
מנשית זבדה,994,Manshiyyet Zabda
מסד,1258,Massad
מסדה,263,Massada
מסילות,298,Mesillot
מסילת ציון,742,Mesillat Ziyyon
מסלול,748,Maslul
מסעדה,4203,Mas'ade
מסעודין אל-עזאזמה (שבט),939,Mas'udin al 'Azazma
מעברות,197,Ma'barot
מעגלים,1082,Ma'galim
מעגן,678,Ma'agan
מעגן מיכאל,694,Ma'agan Mikha'el
מעוז חיים,272,Ma'oz Hayyim
מעון,3657,Ma'on
מעונה,570,Me'ona
מעיין ברוך,416,Ma'yan Barukh
מעיין צבי,290,Ma'yan Zevi
מעיליא,518,Mi'elya
מעלה אדומים,3616,Ma'ale Adummim
מעלה אפרים,3608,Ma'ale Efrayim
מעלה גלבוע,1127,Ma'ale Gilboa
מעלה גמלא,4008,Ma'ale Gamla
מעלה החמישה,286,Ma'ale HaHamisha
מעלה לבונה,3752,Ma'ale Levona
מעלה מכמש,3651,Ma'ale Mikhmas
מעלה עירון,1327,Ma'ale Iron
מעלה עמוס,3653,Ma'ale Amos
מעלה שומרון,3637,Ma'ale Shomeron
מעלות-תרשיחא,1063,Ma'alot-Tarshiha
מענית,344,Ma'anit
"מערב השרון מ""א 16",1876,
"מערב השרון מ""א 18",1877,
"מערב השרון מ""א 19",1878,
מעש,230,Ma'as
מפלסים,668,Mefallesim
"מפעלי אבשלו""ם",1767,
מפעלי ברקן,1791,
מפעלי גליל עליון,1706,
מפעלי גרנות,1739,
מפעלי העמק (יזרעאל),1717,
מפעלי חבל מודיעים,1729,
מפעלי חפר,1745,
מפעלי ים המלח(סדום),1775,
מפעלי כנות,1753,
מפעלי מישור רותם,1773,
מפעלי מעון,1769,
מפעלי נחם הרטוב,1701,
מפעלי צומת מלאכי,1761,
מפעלי צין - ערבה,1776,
מפעלי צמח,1711,
מפעלי שאן,1719,
מצדות יהודה,3745,Mezadot Yehuda
מצובה,325,Mazzuva
מצליח,757,Mazliah
מצפה,58,Mizpa
"מצפה אבי""ב",1222,Mizpe Aviv
מצפה אילן,1370,Mitspe Ilan
מצפה יריחו,3576,Mizpe Yeriho
מצפה נטופה,1190,Mizpe Netofa
מצפה רמון,99,Mizpe Ramon
מצפה שלם,3610,Mizpe Shalem
מצר,648,Mezer
מקווה ישראל,22,Miqwe Yisra'el
מרגליות,843,Margaliyyot
מרום גולן,4101,Merom Golan
מרחב עם,1340,Merhav Am
מרחביה (מושב),97,Merhavya(Moshav)
מרחביה (קיבוץ),66,Merhavya(Qibbuz)
מרכז אזורי כדורי,1713,
מרכז אזורי מרום הגליל,1708,
מרכז אזורי משגב,1723,
מרכז אזורי שוהם,1747,
"מרכז כ""ח",1705,
"מרכז מיר""ב*",1715,
מרכז שפירא,1098,Merkaz Shappira
משאבי שדה,421,Mash'abbe Sade
משגב דב,765,Misgav Dov
משגב עם,378,Misgav Am
משהד,520,Meshhed
משואה,3605,Massu'a
משואות יצחק,620,Massu'ot Yizhaq
משכיות,3785,Maskiyyot
משמר איילון,670,Mishmar Ayyalon
משמר דוד,563,Mishmar Dawid
משמר הירדן,732,Mishmar HaYarden
משמר הנגב,395,Mishmar HaNegev
משמר העמק,130,Mishmar HaEmeq
משמר השבעה,729,Mishmar HaShiv'a
משמר השרון,194,Mishmar HaSharon
משמרות,213,Mishmarot
משמרת,425,Mishmeret
משען,791,Mash'en
מתן,1315,Mattan
מתת,1184,Mattat
מתתיהו,3648,Mattityahu
נאות גולן,4551,Ne'ot Golan
נאות הכיכר,1124,Ne'ot HaKikkar
נאות חובב,1770,
נאות מרדכי,408,Ne'ot Mordekhay
נאות סמדר,1197,Ne'ot Smadar
נאעורה,524,Na'ura
נבטים,396,Nevatim
נגבה,315,Negba
נגוהות,3724,Negohot
נהורה,309,Nehora
נהלל,80,Nahalal
נהרייה,9100,Nahariyya
נוב,4304,Nov
נוגה,55,Nogah
נוה צוף,3573,Neve Tsuf
נווה,1366,Nave
נווה אבות,926,Newe Avot
נווה אור,590,Newe Ur
"נווה אטי""ב",4303,Newe Ativ
נווה אילן,405,Newe Ilan
נווה אילן*,1702,
נווה איתן,296,Newe Etan
נווה דניאל,3725,Newe Daniyyel
נווה זוהר,1057,Newe Zohar
נווה זיו,1314,Newe Ziv
נווה חריף,1279,Newe Harif
נווה ים,312,Newe Yam
נווה ימין,686,Newe Yamin
נווה ירק,858,Newe Yaraq
נווה מבטח,827,Newe Mivtah
נווה מיכאל,1071,Newe Mikha'el
נווה שלום,1259,Newe Shalom
נועם,15,No'am
נוף איילון,1333,Nof Ayyalon
נופים,3790,Nofim
נופית,1284,Nofit
נופך,257,Nofekh
נוקדים,3726,Noqedim
נורדייה,447,Nordiyya
נורית,833,Nurit
נחושה,59,Nehusha
"נחל יפתחאל מ""א 3",1883,
נחל עוז,844,Nahal Oz
"נחל תבור מ""א 8",1861,
נחלה,2045,Nahala
נחליאל,3767,Nahali'el
נחלים,449,Nehalim
נחם,809,Naham
נחף,522,Nahef
נחשולים,433,Nahsholim
נחשון,777,Nahshon
נחשונים,705,Nahshonim
נטועה,1147,Netu'a
נטור,4014,Natur
נטע,1369,Neta
נטעים,174,Neta'im
נטף,1254,Nataf
ניין,523,Nein
"ניל""י",3655,Nili
ניצן,351,Nizzan
ניצן ב',1419,Nizzan B
ניצנה (קהילת חינוך),1195,Nizzana (Qehilat Hinuh)
ניצני סיני,1280,Nizzane Sinay
ניצני עוז,851,Nizzane Oz
ניצנים,359,Nizzanim
ניר אליהו,808,Nir Eliyyahu
ניר בנים,553,Nir Banim
ניר גלים,720,Nir Gallim
ניר דוד (תל עמל),256,Nir Dawid (Tel Amal)
"ניר ח""ן",11,Nir Hen
ניר יפה,165,Nir Yafe
ניר יצחק,402,Nir Yizhaq
ניר ישראל,699,Nir Yisra'el
ניר משה,2047,Nir Moshe
ניר עוז,69,Nir Oz
ניר עם,348,Nir Am
ניר עציון,769,Nir Ezyon
ניר עקיבא,2048,Nir Aqiva
ניר צבי,331,Nir Zevi
נירים,602,Nirim
נירית,1236,Nirit
נמל תעופה בן-גוריון,1748,
נמרוד,4035,Nimrod
נס הרים,825,Nes Harim
נס עמים,1143,Nes Ammim
נס ציונה,7200,Nes Ziyyona
נעורים,186,Ne'urim
נעלה,3787,Na'ale
"נעמ""ה",3713,Na'ama
נען,158,Na'an
נערן,3620,Na'aran
נפת בית לחם,1982,
"נפת בית לחם מ""א 76",1981,
נפת ג'נין,1971,
"נפת ג'נין מ""א 72",1970,
נפת חברון,1984,
"נפת חברון מ""א 78",1983,
נפת טול כרם,1975,
"נפת טול כרם מ""א 72",1974,
נפת ירדן,1980,
"נפת ירדן מ""א 74",1978,
"נפת ירדן מ""א 75",1979,
נפת ראמאללה,1977,
"נפת ראמאללה מ""א 73",1976,
נפת שכם,1973,
"נפת שכם מ""א 72",1972,
נצאצרה (שבט),1041,An-Nasasira
נצר חזני,1372,Nezer Hazzani
נצר סרני,435,Nezer Sereni
נצרת,7300,Nazareth
נצרת עילית,1061,Nazerat Illit
נשר,2500,Nesher
נתיב הגדוד,3555,Netiv HaGedud
"נתיב הל""ה",693,Netiv HaLamed-He
נתיב העשרה,1242,Netiv HaAsara
נתיב השיירה,792,Netiv HaShayyara
נתיבות,246,Netivot
נתניה,7400,Netanya
סאג'ור,525,Sajur
סאסא,578,Sasa
סביון*,587,Savyon
סגולה,2046,Segulla
סואעד (חמרייה)*,942,Sawa'id(Hamriyye)
סואעד (כמאנה) (שבט),989,Sawa'id (Al-Kammana)
סולם,526,Sulam
סוסיה,3756,Suseya
סופה,1238,Sufa
סח'נין,7500,Sakhnin
סייד (שבט),1170,Sayyid
סלמה,1245,Sallama
סלעית,3567,Sal'it
סמר,1156,Samar
סנסנה,3777,Sansana
סעד,419,Sa'ad
סעוה,1360,Sa'Wa
סער,454,Sa'ar
ספיר,1176,Sappir
סתרייה,610,Sitriyya
ע'ג'ר,4501,Ghajar
עבדון,892,Avdon
עברון,376,Evron
עגור,794,Agur
עד הלום,1762,
עדי,1199,Adi
עדנים,2035,Adanim
עוזה,826,Uza
עוזייר,528,Uzeir
עולש,737,Olesh
עומר,666,Omer
עופר,810,Ofer
עוצם,32,Ozem
עוקבי (בנו עוקבה) (שבט),957,Al-'Ukbi
עזוז,328,Ezuz
עזר,1149,Ezer
עזריאל,837,Azri'el
עזריה,711,Azarya
עזריקם,817,Azriqam
עטאוונה (שבט),969,Al-'Atawina
עטרת,3658,Ateret
עידן,1175,Iddan
עידן הנגב,1765,
עיילבון,530,Eilabun
עיינות,156,Ayanot
עילוט,511,Ilut
עין איילה,687,En Ayyala
עין אל-אסד,546,Ein Al-Asad
עין גב,273,En Gev
עין גדי,2042,En Gedi
עין דור,436,En Dor
עין הבשור,1240,En HaBesor
עין הוד,74,En Hod
עין החורש,167,En HaHoresh
עין המפרץ,289,En HaMifraz
"עין הנצי""ב",383,En HaNaziv
עין העמק,367,En HaEmeq
עין השופט,270,En HaShofet
עין השלושה,676,En HaShelosha
עין ורד,157,En Wered
עין זיוון,4503,En Ziwan
עין חוד,1320,Ein Hod
עין חצבה,1053,En Hazeva
עין חרוד (איחוד),89,En Harod (Ihud)
עין חרוד (מאוחד),82,En Harod(Me'uhad)
עין יהב,806,En Yahav
עין יעקב,813,En Ya'aqov
"עין כרם-בי""ס חקלאי",1056,En Karem-B.S.Haqla'i
עין כרמל,426,En Karmel
עין מאהל,532,Ein Mahel
עין נקובא,521,Ein Naqquba
עין עירון,223,En Iron
עין צורים,622,En Zurim
עין קנייא,4502,Ein Qiniyye
עין ראפה,514,Ein Rafa
עין שמר,139,En Shemer
עין שריד,880,En Sarid
עין תמר,1251,En Tamar
עינת,871,Enat
עיר אובות,1187,Ir Ovot
עכו,7600,Akko
עלומים,1146,Alumim
עלי,3765,Eli
עלי זהב,3727,Ale Zahav
עלמה,688,Alma
עלמון,3715,Almon
עמוקה,1212,Amuqqa
עמיחי,3824,Ammihay
עמינדב,779,Amminadav
עמיעד,385,Ammi'ad
עמיעוז,318,Ammi'oz
עמיקם,773,Ammiqam
עמיר,319,Amir
עמנואל,3660,Immanu'el
"עמק בית שאן מ""א 7",1824,
"עמק בית שאן של""ש",1825,
"עמק חולה מ""א 1",1806,
"עמק חולה מ""א 55",1807,
"עמק חולה של""ש",1808,
"עמק חפר מזרח מ""א 16",1875,
"עמק חרוד מ""א 8",1826,
"עמק חרוד של""ש",1827,
"עמק יזרעאל מ""א 13",1834,
"עמק יזרעאל מ""א 8",1832,
"עמק יזרעאל מ""א 9",1833,
עמקה,708,Amqa
ענב,3712,Enav
עספיא,534,Isifya
עפולה,7700,Afula
עפרה,3617,Ofra
עץ אפרים,3778,Ez Efrayim
עצמון שגב,917,Atsmon Segev
עראבה,531,Arrabe
עראמשה*,1246,Aramsha
ערב אל נעים,1335,Arab Al Naim
ערד,2560,Arad
ערוגות,593,Arugot
ערערה,637,Ar'ara
ערערה-בנגב,1192,Ar'ara-BaNegev
עשרת,591,Aseret
עתלית,53,Atlit
עתניאל,3748,Otni'el
פארן,1151,Paran
"פארק הירדן מ""א 6",1961,
פארק תעשיות ספירים,1763,
פדואל,3768,Pedu'el
פדויים,750,Peduyim
פדיה,838,Pedaya
פוריידיס,537,Fureidis
פורייה - כפר עבודה,1104,Poriyya-Kefar Avoda
פורייה - נווה עובד,1105,Poriyya-Newe Oved
פורייה עילית,1313,Poriyya Illit
פורת,767,Porat
פטיש,749,Pattish
פלך,1185,Pelekh
פלמחים,597,Palmahim
פני חבר,3723,Pene Hever
פסגות,3659,Pesagot
פסוטה,535,Fassuta
"פעמי תש""ז",2059,Pa'ame Tashaz
פצאל,3615,Peza'el
פקיעין (בוקייעה),536,Peqi'in (Buqei'a)
פקיעין חדשה,281,Peqi'in Hadasha
פרדס חנה-כרכור,7800,Pardes Hanna-Karkur
פרדסייה,171,Pardesiyya
פרוד,599,Parod
פרזון,2053,Perazon
פרי גן,1231,Peri Gan
פתח תקווה,7900,Petah Tiqwa
פתחיה,839,Petahya
צאלים,413,Ze'elim
צביה,1180,Zviyya
צבעון,1213,Ziv'on
צובה,465,Zova
צוחר,1136,Zohar
צופייה,1111,Zofiyya
צופים,3791,Zufim
צופית,198,Zofit
צופר,1150,Zofar
צוקי ים,1102,Zuqi Yam
צוקים,1262,Zuqim
צור הדסה,1113,Zur Hadassa
צור יצחק,1345,Zur Yizhaq
צור משה,276,Zur Moshe
צור נתן,1148,Zur Natan
צוריאל,774,Zuri'el
צורית,1221,Zurit
ציפורי,613,Zippori
צלפון,796,Zelafon
צנדלה,636,Sandala
צפרייה,594,Zafriyya
צפרירים,1079,Zafririm
צפת,8000,Zefat
צרופה,612,Zerufa
צרעה,567,Zor'a
קבועה (שבט),1234,Kabbu'a
קבוצת יבנה,334,Qevuzat Yavne
קדומים,3557,Qedumim
קדימה-צורן,195,Qadima- Zoran
קדמה,392,Qedma
קדמת צבי,4025,Qidmat Zevi
קדר,3781,Qedar
קדרון,615,Qidron
קדרים,1211,Qaddarim
קודייראת א-צאנע (שבט),964,Kudayrat as-Sani'
קוואעין (שבט),972,Kawa'in
קוממיות,766,Qomemiyyut
קורנית,1179,Qoranit
קטורה,1052,Qetura
קיסריה,1167,Qesaryya
קלחים,414,Qelahim
קליה,3601,Qalya
קלנסווה,638,Qalansawe
קלע,4024,Qela
קציר,1243,Qazir
קצר א-סר,1347,Qasr A-Sir
קצרין,4100,Qazrin
קריית אונו,2620,Qiryat Ono
קריית ארבע,3611,Qiryat Arba
קריית אתא,6800,Qiryat Atta
קריית ביאליק,9500,Qiryat Bialik
קריית גת,2630,Qiryat Gat
קריית חינוך מרחבים*,1768,
קריית טבעון,2300,Qiryat Tiv'on
קריית ים,9600,Qiryat Yam
קריית יערים,1137,Qiryat Ye'arim
קריית יערים (מוסד),2039,Qiryat Ye'arim(Institute)
קריית מוצקין,8200,Qiryat Motzkin
קריית מלאכי,1034,Qiryat Mal'akhi
קריית נטפים,3746,Qiryat Netafim
קריית ענבים,78,Qiryat Anavim
קריית עקרון,469,Qiryat Eqron
קריית שלמה,412,Qiryat Shelomo
קריית שמונה,2800,Qiryat Shemona
קרית חינוך עזתה,1766,
קרית תעופה,1746,
קרני שומרון,3640,Qarne Shomeron
קשת,4006,Qeshet
ראמה,543,Rame
ראס אל-עין,1334,Ras Al-Ein
ראס עלי,990,Ras Ali
ראש העין,2640,Rosh HaAyin
ראש פינה,26,Rosh Pinna
ראש צורים,3602,Rosh Zurim
ראשון לציון,8300,Rishon LeZiyyon
רבבה,3795,Revava
רבדים,564,Revadim
רביבים,354,Revivim
רביד,1225,Ravid
רגבה,390,Regba
רגבים,444,Regavim
רהט,1161,Rahat
רווחה,2051,Rewaha
רוויה,2016,Rewaya
רוח מדבר,1341,Ruah Midbar
רוחמה,362,Ruhama
רומאנה,539,Rummane
רומת הייב,997,Rumat Heib
רועי,3619,Ro'i
רותם,3782,Rotem
רחוב,854,Rehov
רחובות,8400,Rehovot
רחלים,3822,Rehelim
ריחאנייה,540,Reihaniyye
ריחן,3568,Rehan
ריינה,542,Reine
רימונים,3565,Rimmonim
רינתיה,616,Rinnatya
רכסים,922,Rekhasim
רם-און,1069,Ram-On
רמות,4702,Ramot
רמות השבים,206,Ramot HaShavim
רמות מאיר,735,Ramot Me'ir
רמות מנשה,445,Ramot Menashe
רמות נפתלי,372,Ramot Naftali
רמלה,8500,Ramla
רמת גן,8600,Ramat Gan
רמת דוד,135,Ramat Dawid
רמת הכובש,184,Ramat HaKovesh
רמת השופט,335,Ramat HaShofet
רמת השרון,2650,Ramat HaSharon
רמת יוחנן,178,Ramat Yohanan
רמת ישי,122,Ramat Yishay
"רמת כוכב מ""א 7",1828,
"רמת כוכב מ""א 8",1829,
"רמת כוכב מ""א 9",1830,
"רמת כוכב של""ש",1831,
רמת מגשימים,4701,Ramat Magshimim
"רמת מנשה מ""א 13",1837,
"רמת מנשה של""ש",1838,
רמת צבי,339,Ramat Zevi
רמת רזיאל,460,Ramat Razi'el
רמת רחל,127,Ramat Rahel
רנן,789,Rannen
רעים,713,Re'im
רעננה,8700,Ra'annana
רקפת,1228,Raqqefet
רשפון,247,Rishpon
רשפים,437,Reshafim
רתמים,1260,Retamim
שאר ישוב,324,She'ar Yashuv
שבי דרום,1377,Shave Darom
שבי ציון,282,Shave Ziyyon
שבי שומרון,3571,Shave Shomeron
שבלי - אום אל-גנם,913,Shibli-Umm Al-Ghanam
שגב-שלום,1286,Segev-Shalom
שדה אילן,721,Sede Ilan
שדה אליהו,304,Sede Eliyyahu
שדה אליעזר,861,Sede Eli'ezer
שדה בוקר,885,Sede Boqer
שדה דוד,36,Sede Dawid
שדה ורבורג,284,Sede Warburg
שדה יואב,293,Sede Yo'av
שדה יעקב,142,Sede Ya'aqov
שדה יצחק,2008,Sede Yizhaq
שדה משה,18,Sede Moshe
שדה נחום,259,Sede Nahum
שדה נחמיה,329,Sede Nehemya
שדה ניצן,1058,Sede Nizzan
שדה עוזיהו,739,Sede Uzziyyahu
שדה צבי,2049,Sede Zevi
שדות ים,327,Sedot Yam
שדות מיכה,27,Sedot Mikha
שדי אברהם,1223,Sede Avraham
שדי חמד,2015,Sede Hemed
שדי תרומות,2057,Sede Terumot
שדמה,555,Shedema
שדמות דבורה,306,Shadmot Devora
שדמות מחולה,3578,Shadmot Mehola
שדרות,1031,Sederot
שואבה,741,Sho'eva
שובה,761,Shuva
שובל,394,Shoval
שוהם,1304,Shoham
שומרה,614,Shomera
שומרייה,1265,Shomeriyya
שוקדה,415,Shoqeda
שורש,456,Shoresh
שורשים,1235,Shorashim
שושנת העמקים,224,Shoshannat HaAmaqim
שזור,527,Shezor
שחר,7,Shahar
שחרות,1266,Shaharut
שיבולים,865,Shibbolim
שיטים,1267,Shittim
שייח' דנון,658,Sheikh Dannun
שילה,3641,Shilo
שילת,1165,Shilat
שכניה,1160,Shekhanya
שלווה,873,Shalwa
שלווה במדבר,1373,Shalva Bamidbar
שלוחות,439,Sheluhot
שלומי,812,Shelomi
שלומית,1364,Shlomit
שלומציון,1793,
שמיר,366,Shamir
שמעה,3784,Shim'a
שמרת,432,Shamerat
שמשית,1337,Shimshit
שני,1287,Shani
שניר,1132,Senir
שעב,538,Sha'ab
שעל,4009,Sha'al
שעלבים,856,Sha'alvim
שער אפרים,661,Sha'ar Efrayim
שער הגולן,264,Sha'ar HaGolan
שער העמקים,237,Sha'ar HaAmaqim
שער מנשה,921,Sha'ar Menashe
שערי תקווה,3720,Sha'are Tiqwa
שפיים,232,Shefayim
שפיר,692,Shafir
"שפלת יהודה מ""א 26",1803,
"שפלת יהודה של""ש",1804,
שפר,846,Shefer
שפרעם,8800,Shefar'am
שקד,3649,Shaqed
שקף,1233,Sheqef
שרונה,292,Sharona
שריגים (לי-און),1114,Sarigim (Li-On)
שריד,126,Sarid
שרשרת,398,Sharsheret
שתולה,1045,Shetula
שתולים,763,Shetulim
תאשור,2062,Te'ashur
תדהר,2061,Tidhar
תובל,1172,Tuval
תומר,3558,Tomer
תושייה,1083,Tushiyya
תימורים,163,Timmorim
תירוש,10,Tirosh
תל אביב -יפו,5000,Tel Aviv - Yafo
תל חי (מכללה),1707,
תל יוסף,84,Tel Yosef
תל יצחק,287,Tel Yizhaq
תל מונד,154,Tel Mond
תל עדשים,103,Tel Adashim
תל קציר,719,Tel Qazir
תל שבע,1054,Tel Sheva
תל תאומים,1283,Tel Te'omim
תלם,3719,Telem
תלמי אליהו,1051,Talme Eliyyahu
תלמי אלעזר,2003,Talme El'azar
"תלמי ביל""ו",2050,Talme Bilu
תלמי יוסף,1237,Talme Yosef
תלמי יחיאל,727,Talme Yehi'el
תלמי יפה,744,Talme Yafe
תלמים,814,Telamim
תמרת,1244,Timrat
תנובות,2002,Tenuvot
תעוז,752,Ta'oz
תעשיון בינימין*,1744,
תעשיון השרון,1741,
תעשיון חבל יבנה,1750,
תעשיון חצב*,1742,
תעשיון מבצע*,1754,
תעשיון מיתרים,1794,
תעשיון צריפין,1749,
תעשיון ראם*,1755,
"תעשיון שח""ק",1792,
תעשיות גליל תחתון,1714,
תפרח,709,Tifrah
תקומה,665,Tequma
תקוע,3563,Teqoa
תראבין א-צאנע (שבט),970,Tarabin as-Sani'
תרבין א-צאנע (יישוב)*,1346,Tarabin As-Sani
תרום,778,Tarum
